survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,geom,program,visibility,hour,survey_latitude,survey_longitude,diver,method,block,phylum,class,order,family,recorded_species_name,species_name,taxon,reporting_name,total,biomass
923401390,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD2,Tappers Cove,47.66498,-52.72689,3/10/2022,6,0101000020E61000000DE544BB0A5D4AC03E3F8C101ED54740,RLS,5,12:10:00,47.66498,-52.72689,Jasmin Schuster,1,1,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus morhua,Gadus morhua,Gadus morhua,Gadus morhua,1,0.21355831
923401390,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD2,Tappers Cove,47.66498,-52.72689,3/10/2022,6,0101000020E61000000DE544BB0A5D4AC03E3F8C101ED54740,RLS,5,12:10:00,47.66498,-52.72689,Jasmin Schuster,1,2,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus morhua,Gadus morhua,Gadus morhua,Gadus morhua,22,39.5370565
923401390,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD2,Tappers Cove,47.66498,-52.72689,3/10/2022,6,0101000020E61000000DE544BB0A5D4AC03E3F8C101ED54740,RLS,5,12:10:00,47.66498,-52.72689,Jasmin Schuster,1,2,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus morhua,Gadus morhua,Gadus morhua,Gadus morhua,25,5.338957756
923401390,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD2,Tappers Cove,47.66498,-52.72689,3/10/2022,6,0101000020E61000000DE544BB0A5D4AC03E3F8C101ED54740,RLS,5,12:10:00,47.66498,-52.72689,Jasmin Schuster,1,2,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus aenaeus,Myoxocephalus aenaeus,Myoxocephalus aenaeus,Myoxocephalus aenaeus,1,NA
923401390,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD2,Tappers Cove,47.66498,-52.72689,3/10/2022,6,0101000020E61000000DE544BB0A5D4AC03E3F8C101ED54740,RLS,5,12:10:00,47.66498,-52.72689,Jasmin Schuster,1,2,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,5,12.97362461
923401390,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD2,Tappers Cove,47.66498,-52.72689,3/10/2022,6,0101000020E61000000DE544BB0A5D4AC03E3F8C101ED54740,RLS,5,12:10:00,47.66498,-52.72689,Jasmin Schuster,1,2,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,2,0.676696861
923401389,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD12,Biscayan Cove,47.803726,-52.787438,5/10/2022,8,0101000020E610000057D0B4C4CA644AC0F2785A7EE0E64740,RLS,5,12:50:00,47.80372,-52.78743,Jasmin Schuster,1,1,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,3,1.015045291
923401389,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD12,Biscayan Cove,47.803726,-52.787438,5/10/2022,8,0101000020E610000057D0B4C4CA644AC0F2785A7EE0E64740,RLS,5,12:50:00,47.80372,-52.78743,Jasmin Schuster,1,1,Chordata,Actinopterygii,Perciformes,Stichaeidae,Ulvaria subbifurcata,Ulvaria subbifurcata,Ulvaria subbifurcata,Ulvaria subbifurcata,1,NA
923401389,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD12,Biscayan Cove,47.803726,-52.787438,5/10/2022,8,0101000020E610000057D0B4C4CA644AC0F2785A7EE0E64740,RLS,5,12:50:00,47.80372,-52.78743,Valesca De Groot,1,2,Chordata,Actinopterygii,Perciformes,Stichaeidae,Ulvaria subbifurcata,Ulvaria subbifurcata,Ulvaria subbifurcata,Ulvaria subbifurcata,1,NA
923401388,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD1,Middle Cove,47.65214,-52.69617,6/10/2022,5.5,0101000020E6100000683A3B191C594AC0EC34D25279D34740,RLS,4,10:20:00,47.65214,-52.69617,Jasmin Schuster,1,1,NA,NA,NA,NA,No species found,No species found,NA,NA,1,NA
923401388,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD1,Middle Cove,47.65214,-52.69617,6/10/2022,5.5,0101000020E6100000683A3B191C594AC0EC34D25279D34740,RLS,4,10:20:00,47.65214,-52.69617,Valesca De Groot,1,2,Chordata,Actinopterygii,Perciformes,Stichaeidae,Ulvaria subbifurcata,Ulvaria subbifurcata,Ulvaria subbifurcata,Ulvaria subbifurcata,1,NA
923401387,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD4,Portugal Cove,47.62729,-52.85769,4/10/2022,6.5,0101000020E61000009A0D32C9C86D4AC0CE8DE9094BD04740,RLS,4,12:50:00,47.62729,-52.85769,Jasmin Schuster,1,1,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,8,20.75779938
923401387,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD4,Portugal Cove,47.62729,-52.85769,4/10/2022,6.5,0101000020E61000009A0D32C9C86D4AC0CE8DE9094BD04740,RLS,4,12:50:00,47.62729,-52.85769,Jasmin Schuster,1,1,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,5,42.716291150000004
923401387,Canada,Newfoundland and Labrador,Northern Grand Banks - Southern Labrador,Arctic,Newfoundland,NFLD4,Portugal Cove,47.62729,-52.85769,4/10/2022,6.5,0101000020E61000009A0D32C9C86D4AC0CE8DE9094BD04740,RLS,4,12:50:00,47.62729,-52.85769,Jasmin Schuster,1,1,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,Tautogolabrus adspersus,48,16.24072465
